THOR_DATA_VIET_ID,COUNTRYFLYINGMISSION,MILSERVICE,MSNDATE,SOURCEID,SOURCERECORD,VALID_AIRCRAFT_ROOT,TAKEOFFLOCATION,TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84,TGTTYPE,NUMWEAPONSDELIVERED,TIMEONTARGET,WEAPONTYPE,WEAPONTYPECLASS,WEAPONTYPEWEIGHT,AIRCRAFT_ORIGINAL,AIRCRAFT_ROOT,AIRFORCEGROUP,AIRFORCESQDN,CALLSIGN,FLTHOURS,MFUNC,MFUNC_DESC,MISSIONID,NUMOFACFT,OPERATIONSUPPORTED,PERIODOFDAY,UNIT,TGTCLOUDCOVER,TGTCONTROL,TGTCOUNTRY,TGTID,TGTORIGCOORDS,TGTORIGCOORDSFORMAT,TGTWEATHER,ADDITIONALINFO,GEOZONE,ID,MFUNC_DESC_CLASS,NUMWEAPONSJETTISONED,NUMWEAPONSRETURNED,RELEASEALTITUDE,RELEASEFLTSPEED,RESULTSBDA,TIMEOFFTARGET,WEAPONSLOADEDWEIGHT,Year
186566,VIETNAM (SOUTH),VNAF,1975-02-13,241288,SEADAB,EC-47,TAN SON NHUT,,,,0,800.0,,,0,EC47,EC47,,,,15,53.0,MAINTENANCE,0746,1,,D,716RS,,,SOUTH VIETNAM,,,,,UNIT: 716RS - CALLSIGN:,,26729687,NONKINETIC,-1,-1,,,,800.0,0,1975
186581,UNITED STATES OF AMERICA,USAF,1975-05-27,241303,SEADAB,C-130,U TAPAO,,,,136,800.0,CARGO (TONS),,0,C130,C130,,,,94,49.0,LOG CARGO CARRYING,1109,9,,D,374TAW,,,THAILAND,,,,,UNIT: 374TAW - CALLSIGN:,,26729702,NONKINETIC,-1,-1,,,,800.0,0,1975
186678,VIETNAM (SOUTH),VNAF,1975-02-24,241400,SEADAB,U-17,BINH THUY,,,,0,800.0,,,0,U17,U17,,,,20,50.0,ADMINISTRATIVE,0779,1,,D,116LS,,,SOUTH VIETNAM,,,,,UNIT: 116LS - CALLSIGN:,,26729799,NONKINETIC,-1,-1,,,,800.0,0,1975
186703,UNITED STATES OF AMERICA,USAF,1975-03-07,241425,SEADAB,HH-43,UDORN AB,,,,0,1800.0,,,0,HH43,HH43,,,,15,50.0,ADMINISTRATIVE,1116,1,,N,40ARRS,,,THAILAND,,,,,UNIT: 40ARRS - CALLSIGN:,,26729824,NONKINETIC,-1,-1,,,,1800.0,0,1975
186704,VIETNAM (SOUTH),VNAF,1975-03-23,241426,SEADAB,UH-1,CAN THO,,,,0,800.0,,,0,UH1,UH1,,,,40,45.0,COMMAND/CONTROL,0806,1,,D,227HS,,,SOUTH VIETNAM,,,,,UNIT: 227HS - CALLSIGN:,,26729825,NONKINETIC,-1,-1,,,,800.0,0,1975
186783,UNITED STATES OF AMERICA,USAF,1975-01-09,241505,SEADAB,HH-53,NAKHON PHANOM,,,,0,800.0,,,0,HH53,HH53,,,,37,52.0,TRAINING,1119,1,,D,40ARRS,,,THAILAND,,,,,UNIT: 40ARRS - CALLSIGN:,,26729904,NONKINETIC,-1,-1,,,,800.0,0,1975
186808,VIETNAM (SOUTH),VNAF,1975-01-28,241530,SEADAB,C-130,TAN SON NHUT,,,,650,800.0,PASSENGERS,,0,C130,C130,,,,125,50.0,ADMINISTRATIVE,0743,1,,D,437TS,,,SOUTH VIETNAM,,,,,UNIT: 437TS - CALLSIGN:,,26729929,NONKINETIC,-1,-1,,,,800.0,0,1975
186858,VIETNAM (SOUTH),VNAF,1975-01-08,241580,SEADAB,UH-1,BIEN HOA,,,,35,800.0,PASSENGERS,,0,UH1,UH1,,,,60,47.0,COMBT CARGO CARRYING,0789,1,,D,251HS,,,SOUTH VIETNAM,,,,,UNIT: 251HS - CALLSIGN:,,26729979,NONKINETIC,-1,-1,,,,800.0,0,1975
186869,VIETNAM (SOUTH),VNAF,1975-04-16,241591,SEADAB,O-1,BINH THUY,,,,0,800.0,,,0,O1,O1,,,,25,50.0,ADMINISTRATIVE,0821,1,,D,116LS,,,SOUTH VIETNAM,,,,,UNIT: 116LS - CALLSIGN:,,26729990,NONKINETIC,-1,-1,,,,800.0,0,1975
186972,KOREA (SOUTH),KAF,1975-02-20,241694,SEADAB,AU-24,PONCHENTONG,,,,0,200.0,,,0,AU24,AU24,,,,120,54.0,AIRBORNE ALERT,K012,4,,D,KAF,,,CAMBODIA,,,,,UNIT: KAF - CALLSIGN:,,26730093,NONKINETIC,-1,-1,,,,200.0,0,1975
187035,UNITED STATES OF AMERICA,USAF,1975-05-13,241757,SEADAB,EC-130,U TAPAO,,,,0,2300.0,,,0,EC130,EC130,,,CRICKET,121,45.0,COMMAND/CONTROL,3150,1,,D,7ACCS,,,,,,,,UNIT: 7ACCS - CALLSIGN: CRICKET,,26730156,NONKINETIC,-1,-1,,,,2300.0,0,1975
187142,VIETNAM (SOUTH),VNAF,1975-02-18,241864,SEADAB,UH-1,CAN THO,,,,2,800.0,PASSENGERS,,0,UH1,UH1,,,,133,45.0,COMMAND/CONTROL,0807,1,,D,217HS,,,SOUTH VIETNAM,,,,,UNIT: 217HS - CALLSIGN:,,26730263,NONKINETIC,-1,-1,,,,800.0,0,1975
187165,VIETNAM (SOUTH),VNAF,1975-04-01,241887,SEADAB,UH-1,BIEN HOA,,,,85,800.0,PASSENGERS,,0,UH1,UH1,,,,120,48.0,LOG TROOP CARRYING,0764,1,,D,223HS,,,SOUTH VIETNAM,,,,,UNIT: 223HS - CALLSIGN:,,26730286,NONKINETIC,-1,-1,,,,800.0,0,1975
187394,UNITED STATES OF AMERICA,USAF,1975-04-24,242116,SEADAB,A-7,KORAT,,,,0,800.0,,,0,A7,A7,,,,75,52.0,TRAINING,1100,5,,D,388TFW,,,THAILAND,,,,,UNIT: 388TFW - CALLSIGN:,,26730515,NONKINETIC,-1,-1,,,,800.0,0,1975
187477,VIETNAM (SOUTH),VNAF,1975-03-21,242199,SEADAB,UH-1,BIEN HOA,,,,14,800.0,PASSENGERS,,0,UH1,UH1,,,,30,97.0,OTHER,0753,1,,D,223HS,,,SOUTH VIETNAM,,,,,UNIT: 223HS - CALLSIGN:,,26730598,NONKINETIC,-1,-1,,,,800.0,0,1975
187671,VIETNAM (SOUTH),VNAF,1975-01-26,242393,SEADAB,O-1,PLEIKU,,,,0,800.0,,,0,O1,O1,,,,55,18.0,VISUAL RECCE,0779,1,,D,118LS,,,SOUTH VIETNAM,,,,,UNIT: 118LS - CALLSIGN:,,26730792,NONKINETIC,-1,-1,,,,800.0,0,1975
187699,KOREA (SOUTH),KAF,1975-01-24,242421,SEADAB,AU-24,PONCHENTONG,,,,0,200.0,,,0,AU24,AU24,,,,30,54.0,AIRBORNE ALERT,K033,1,,D,KAF,,,CAMBODIA,,,,,UNIT: KAF - CALLSIGN:,,26730820,NONKINETIC,-1,-1,,,,200.0,0,1975
187827,VIETNAM (SOUTH),VNAF,1975-01-10,242549,SEADAB,RC-47,TAN SON NHUT,,,,0,800.0,,,0,RC47,RC47,,,,45,20.0,PHOTO RECCE,0852,1,,D,716RS,,,SOUTH VIETNAM,,,,,UNIT: 716RS - CALLSIGN:,,26730948,NONKINETIC,-1,-1,,,,800.0,0,1975
187950,KOREA (SOUTH),KAF,1975-02-17,260976,SEADAB,T-28,PONCHENTONG,,,,0,200.0,,,0,T28,T28,,,,135,54.0,AIRBORNE ALERT,K005,9,,D,KAF,,,CAMBODIA,,,,,UNIT: KAF - CALLSIGN:,,26749375,NONKINETIC,-1,-1,,,,200.0,0,1975
188031,KOREA (SOUTH),KAF,1975-01-04,261057,SEADAB,T-28,PONCHENTONG,,,,0,200.0,,,0,T28,T28,,,,30,54.0,AIRBORNE ALERT,K018,2,,D,KAF,,,CAMBODIA,,,,,UNIT: KAF - CALLSIGN:,,26749456,NONKINETIC,-1,-1,,,,200.0,0,1975
188040,VIETNAM (SOUTH),VNAF,1975-02-10,261066,SEADAB,U-17,BINH THUY,,,,0,800.0,,,0,U17,U17,,,,15,50.0,ADMINISTRATIVE,0733,1,,D,122LS,,,SOUTH VIETNAM,,,,,UNIT: 122LS - CALLSIGN:,,26749465,NONKINETIC,-1,-1,,,,800.0,0,1975
188164,VIETNAM (SOUTH),VNAF,1975-03-07,261190,SEADAB,O-1,BIEN HOA,,,,0,800.0,,,0,O1,O1,,,,20,53.0,MAINTENANCE,0795,1,,D,124LS,,,SOUTH VIETNAM,,,,,UNIT: 124LS - CALLSIGN:,,26749589,NONKINETIC,-1,-1,,,,800.0,0,1975
188429,VIETNAM (SOUTH),VNAF,1975-03-08,261455,SEADAB,O-1,BIEN HOA,,,,0,800.0,,,0,O1,O1,,,,41,52.0,TRAINING,0844,1,,D,112LS,,,SOUTH VIETNAM,,,,,UNIT: 112LS - CALLSIGN:,,26749854,NONKINETIC,-1,-1,,,,800.0,0,1975
188449,VIETNAM (SOUTH),VNAF,1975-01-22,261475,SEADAB,RC-47,TAN SON NHUT,,,,1000,800.0,M129EA1 LEAFLETS(1K),,200,RC47,RC47,,,,19,38.0,PSYCHOLOGIC WARFARE,0765,1,,D,716RS,,,SOUTH VIETNAM,,,,,UNIT: 716RS - CALLSIGN:,,26749874,NONKINETIC,-1,-1,,,,800.0,0,1975
188624,VIETNAM (SOUTH),VNAF,1975-01-01,261650,SEADAB,O-1,BINH THUY,,,,0,800.0,,,0,O1,O1,,,,20,50.0,ADMINISTRATIVE,0788,1,,D,116LS,,,SOUTH VIETNAM,,,,,UNIT: 116LS - CALLSIGN:,,26750049,NONKINETIC,-1,-1,,,,800.0,0,1975
188640,VIETNAM (SOUTH),VNAF,1975-01-21,261666,SEADAB,UH-1,PLEIKU,,,,0,800.0,,,0,UH1,UH1,,,,100,44.0,ARMED HELICOPTER,0735,1,,D,235HS,,,SOUTH VIETNAM,,,,,UNIT: 235HS - CALLSIGN:,,26750065,KINETIC,-1,-1,,,,800.0,0,1975
188695,VIETNAM (SOUTH),VNAF,1975-03-05,261721,SEADAB,UH-1,CAN THO,,,,44,800.0,PASSENGERS,,0,UH1,UH1,,,,65,45.0,COMMAND/CONTROL,0765,1,,D,217HS,,,SOUTH VIETNAM,,,,,UNIT: 217HS - CALLSIGN:,,26750120,NONKINETIC,-1,-1,,,,800.0,0,1975
188744,KOREA (SOUTH),KAF,1975-03-27,261770,SEADAB,O-1,PONCHENTONG,,,,0,200.0,,,0,O1,O1,,,,600,36.0,FAC/TAC,K006,20,,D,KAF,,,CAMBODIA,,,,,UNIT: KAF - CALLSIGN:,,26750169,NONKINETIC,-1,-1,,,,200.0,0,1975
188783,KOREA (SOUTH),KAF,1975-02-06,261809,SEADAB,AU-24,BATTAMBANG,,,,0,200.0,,,0,AU24,AU24,,,,30,54.0,AIRBORNE ALERT,K029,1,,D,KAF,,,CAMBODIA,,,,,UNIT: KAF - CALLSIGN:,,26750208,NONKINETIC,-1,-1,,,,200.0,0,1975
188894,KOREA (SOUTH),KAF,1975-01-14,261920,SEADAB,UH-1,PONCHENTONG,,,,0,1400.0,,,0,UH1,UH1,,,,20,54.0,AIRBORNE ALERT,K035,2,,N,KAF,,,CAMBODIA,,,,,UNIT: KAF - CALLSIGN:,,26750319,NONKINETIC,-1,-1,,,,1400.0,0,1975
188951,UNITED STATES OF AMERICA,USAF,1975-06-13,261977,SEADAB,AC-130,KORAT,,,,0,800.0,,,0,AC130,AC130,,,,68,52.0,TRAINING,1104,2,,D,388TFW,,,THAILAND,,,,,UNIT: 388TFW - CALLSIGN:,,26750376,NONKINETIC,-1,-1,,,,800.0,0,1975
189206,VIETNAM (SOUTH),VNAF,1975-03-21,262232,SEADAB,F-5,DANANG,,,,0,800.0,,,0,F5,F5,,,,67,3.0,AIR INTERDICTION,0792,1,,D,538FS,,,SOUTH VIETNAM,,,,,UNIT: 538FS - CALLSIGN:,,26750631,KINETIC,-1,-1,,,,800.0,0,1975
189407,VIETNAM (SOUTH),VNAF,1975-01-16,262433,SEADAB,UH-1,DANANG,,,,50,800.0,CARGO (TONS),,0,UH1,UH1,,,,37,47.0,COMBT CARGO CARRYING,0791,1,,D,239HS,,,SOUTH VIETNAM,,,,,UNIT: 239HS - CALLSIGN:,,26750832,NONKINETIC,-1,-1,,,,800.0,0,1975
189587,UNITED STATES OF AMERICA,USAF,1975-01-16,262613,SEADAB,U-21,U TAPAO,,,,0,400.0,,,0,U21,U21,,,SNOOPY45,51,34.0,RADIO DIRECT FINDER,2600,1,,D,7RRFS,,,CAMBODIA,,,,,UNIT: 7RRFS - CALLSIGN: SNOOPY45,,26751012,NONKINETIC,-1,-1,,,,400.0,0,1975
189588,KOREA (SOUTH),KAF,1975-01-21,262614,SEADAB,AU-24,PONCHENTONG,,,,0,1400.0,,,0,AU24,AU24,,,,60,54.0,AIRBORNE ALERT,K020,2,,N,KAF,,,CAMBODIA,,,,,UNIT: KAF - CALLSIGN:,,26751013,NONKINETIC,-1,-1,,,,1400.0,0,1975
189736,VIETNAM (SOUTH),VNAF,1975-01-27,262762,SEADAB,UH-1,BINH THUY,,,,10,800.0,PASSENGERS,,0,UH1,UH1,,,,64,45.0,COMMAND/CONTROL,0812,1,,D,225HS,,,SOUTH VIETNAM,,,,,UNIT: 225HS - CALLSIGN:,,26751161,NONKINETIC,-1,-1,,,,800.0,0,1975
189850,VIETNAM (SOUTH),VNAF,1975-02-18,262876,SEADAB,A-37,PHU CAT,,,,0,800.0,,,0,A37,A37,,,,20,52.0,TRAINING,0716,1,,D,532FS,,,SOUTH VIETNAM,,,,,UNIT: 532FS - CALLSIGN:,,26751275,NONKINETIC,-1,-1,,,,800.0,0,1975
189851,VIETNAM (SOUTH),VNAF,1975-03-16,262877,SEADAB,UH-1,BIEN HOA,,,,13,800.0,PASSENGERS,,0,UH1,UH1,,,,57,45.0,COMMAND/CONTROL,0775,1,,D,221HS,,,SOUTH VIETNAM,,,,,UNIT: 221HS - CALLSIGN:,,26751276,NONKINETIC,-1,-1,,,,800.0,0,1975
