THOR_DATA_VIET_ID,COUNTRYFLYINGMISSION,MILSERVICE,MSNDATE,SOURCEID,SOURCERECORD,VALID_AIRCRAFT_ROOT,TAKEOFFLOCATION,TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84,TGTTYPE,NUMWEAPONSDELIVERED,TIMEONTARGET,WEAPONTYPE,WEAPONTYPECLASS,WEAPONTYPEWEIGHT,AIRCRAFT_ORIGINAL,AIRCRAFT_ROOT,AIRFORCEGROUP,AIRFORCESQDN,CALLSIGN,FLTHOURS,MFUNC,MFUNC_DESC,MISSIONID,NUMOFACFT,OPERATIONSUPPORTED,PERIODOFDAY,UNIT,TGTCLOUDCOVER,TGTCONTROL,TGTCOUNTRY,TGTID,TGTORIGCOORDS,TGTORIGCOORDSFORMAT,TGTWEATHER,ADDITIONALINFO,GEOZONE,ID,MFUNC_DESC_CLASS,NUMWEAPONSJETTISONED,NUMWEAPONSRETURNED,RELEASEALTITUDE,RELEASEFLTSPEED,RESULTSBDA,TIMEOFFTARGET,WEAPONSLOADEDWEIGHT,Year
2187463,UNITED STATES OF AMERICA,USAF,10/1/67,1680843,CACTA6669,F-4,UBON AB,16.961,106.892,ANTI-AIRCRAFT,5,1823,750LB GP M-117,,799,F4C,F4,,,,40,1,STRIKE,JV025,2,ROLLING THUN - ROLLING THUND,N,JAJJT0,SCATTERED,MSQ,NORTH VIETNAM,,16961N106892E,DD.DDDN DDD.DDDE,0803NH,MISSION: RT57C71N - CONTROL_TYPE: MSQ - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),YE,24690484,KINETIC,0,0,,,,1824,-1,1967
2189513,UNITED STATES OF AMERICA,USMC,10/1/67,1683466,CACTA6669,F-4,CHU LAI,15.18731266,108.8930575,BUILDINGS,23,2320,500LB GP MK-82,,500,F4B,F4,,,,36,5,CLOSE AIR SUPPORT,ME007,3,IN COUNTRY,D,M01542,CLEAR,ABN FWD AIR CNTL,SOUTH VIETNAM,,49PBS74008000,##ABC11112222,9999N,MISSION: VS1001196 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),BS,24692535,KINETIC,0,1,,,,2340,-1,1967
2189990,UNITED STATES OF AMERICA,USMC,10/1/67,1684065,CACTA6669,A-4,CHU LAI,15.57304885,108.2301848,UNKNOWN\UNIDENTIFIED,12,210,500LB GP MK-82,,500,A4E,A4,,,,11,76,LANDING ZONE PREP,ME010,2,IN COUNTRY,D,M01311,SCATTERED,PREBRIEFED TGT,SOUTH VIETNAM,,49PBT03302350,##ABC11112222,209,MISSION: VS1001112 - CONTROL_TYPE: PREBRIEFED TGT - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),ZB,24693013,KINETIC,0,0,,,,218,-1,1967
2190051,UNITED STATES OF AMERICA,USAF,10/1/67,1684140,CACTA6669,F-100,PHU CAT,13.84664464,108.5496365,AREA\DEPOT,6,800,750LB BLU-1/27,,694,F100D,F100,,,,43,3,AIR INTERDICTION,JH007,3,IN COUNTRY - SOUTH VIETNAM,D,JAMOH0,NOT OBS,,SOUTH VIETNAM,,49PBR355320,##ABC111222,9999N,MISSION: VS10-29 - CONTROL_TYPE:  - RTCOR: CORPS AREA II (IN-COUNTRY MISSIONS) OR RTE AREA 2 (OUT-OF-COUNTRY MISSIONS),BR,24693074,KINETIC,0,0,,,,811,-1,1967
2191705,UNITED STATES OF AMERICA,USN,10/1/67,1686305,CACTA6669,A-1,WESTPAC 11,19.147,105.733,TRUCK PARK\STOP,95,205,2.75IN HE RKT,,18,A1H,A1,,,,0,4,ARMED RECCE,I0007,2,ROLLING THUN - ROLLING THUND,D,N09284,SCATTERED,TGT OF OPPORTUNITY,NORTH VIETNAM,,19147N105733E,DD.DDDN DDD.DDDE,0105H,MISSION: RT57C - CONTROL_TYPE: TGT OF OPPORTUNITY - RTCOR: CORPS AREA III (IN-COUNTRY MISSIONS) OR RTE AREA 3 (OUT-OF-COUNTRY MISSIONS),WG,24694730,KINETIC,19,38,,,,206,-1,1967
2193424,UNITED STATES OF AMERICA,USAF,10/1/67,1688504,CACTA6669,A-1,PLEIKU,14.49013024,108.317382,TROOPS,8,505,M-3,,50,A1E,A1,,,,13,5,CLOSE AIR SUPPORT,JM005,1,IN COUNTRY - SVN,D,JAAGD0,OVERCAST,ABN FWD AIR CNTL,SOUTH VIETNAM,,49PBS112035,##ABC111222,0309N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA II (IN-COUNTRY MISSIONS) OR RTE AREA 2 (OUT-OF-COUNTRY MISSIONS),ZB,24696455,KINETIC,0,0,,,,523,-1,1967
2196491,UNITED STATES OF AMERICA,USAF,10/1/67,1692444,CACTA6669,F-100,BIEN HOA,10.3724317,104.9650354,TROOPS,2,945,750LB BLU-1/27,,694,F100D,F100,,,,27,5,CLOSE AIR SUPPORT,JA035,2,IN COUNTRY - SOUTH VIETNAM,D,JAJHJ0,BROKEN,ABN FWD AIR CNTL,SOUTH VIETNAM,,48PVS965465,##ABC111222,0805N,MISSION: VS10&24 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),VS,24699528,KINETIC,0,0,,,,955,-1,1967
2197451,UNITED STATES OF AMERICA,USMC,10/1/67,1693662,CACTA6669,A-4,CHU LAI,15.18546194,108.8884231,TROOPS,0,30,MK-11/MK-12,,57,A4E,A4,,,,20,5,CLOSE AIR SUPPORT,ME020,2,IN COUNTRY,D,M01223,SCATTERED,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,,49PBS73507980,##ABC11112222,9999,MISSION: VS1001076 - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),BS,24700489,KINETIC,0,2,,,,35,-1,1967
2197908,UNITED STATES OF AMERICA,USAF,10/1/67,1694255,CACTA6669,F-4,DANANG,17.055555,106.894444,ANTI-AIRCRAFT,11,1009,500LB GP MK-82,,500,F4C,F4,,,,21,1,STRIKE,JG805,2,ROLLING THUN - ROLLING THUND,D,JAJIZ0,BROKEN,TPQ-10,NORTH VIETNAM,,170320N1065340E,DDMMSSN DDDMMSSE,0609CM,MISSION: RT57C - CONTROL_TYPE: TPQ-10 - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),YE,24700948,KINETIC,0,1,,,,1009,-1,1967
2199009,UNITED STATES OF AMERICA,USAF,10/1/67,1695679,CACTA6669,C-130,UDORN AB,,,,0,0,,,0,C130A,C130,,,,143,45,COMMAND/CONTROL,JS011,1,STEEL TIGER - STEEL TIGER,N,JAIZU0,SCATTERED,,,,,,,MISSION: SL1059 - CONTROL_TYPE:  - RTCOR:,,24702052,NONKINETIC,0,0,,,,0,-1,1967
